TEXTFILE_FILTER,文本文件(*.txt;*.csv)|*.txt;*.csv||,Text File(*.txt;*.csv)|*.txt;*.csv||,文字檔案(*.txt;*.csv)|*.txt;*.csv||
TEXT_OR_ALL_FILE_FILTER,文本文件(*.txt)|*.txt|全部文件|*.*||,Text File(*.txt)|*.txt|All File Type|*.*||,文字檔案(*.txt)|*.txt|全部檔|*.*||
SAVE_AS,另存为,Save As,另存為
RETURN_NORMAL,返回主界面,Return,返回主介面
CONFIRMATIONDLG_TITLE                  ,结算结果确定,Confirm Settlement,結算結果確定
TRADEREPORTDLG_TITLE                  ,交易及账号报告,Trader Report,交易及帳號報告
ABOUTDLG_TITLE                         ,关于 中国国际期货网上交易终端,About CIFCO FastTrader Client,關於 中國國際期貨網上交易終端
MAINFRAME_INITIALIZE_ERROR_MSG      ,主窗口初始化失败,Initialize Error,主窗口初始化失敗
MAINFRAME_INITIALIZE_ERROR_CAPTION  ,错误,Error,錯誤
MAINFRAME_CLOSEMSGBOX_TITLE      ,注意,Information,注意
MAINFRAME_CLOSEMSGBOX_MSG           ,您确定要退出?,Exist Now?,您確定要退出?
MAINFRAME_CLOSEMSGBOX_MSG_HASLOCALORDER,您还有本地条件单/预埋单未触发，退出系统后我们将在当日内为您保留，但离线状态下无法触发，请注意。,"You have the local conditions of single / embedded single did not trigger, exit the system, we will be reserved for you in the day, not trigger offline, please note that.",您還有本地條件單/預埋單未觸發，退出系統後我們將在當日內為您保留，但離線狀態下無法觸發，請注意。
LOCKFRAMEDLG_TITLE                 ,锁定软件,Locked,鎖定軟體
LOCKFRAMEDLG_STATICTEXT1           ,软件终端已被锁定，请输入登录密码解除锁定,Please input password,軟體終端已被鎖定，請輸入登錄密碼解除鎖定
LOCKFRAMEDLG_STATICTEXT2           ,密码:,Password:,密碼:
LOCKFRAMEDLG_BUTTON                ,解除锁定,Unlocked,解除鎖定
STATIC_CONTRACT_TEXT,合约:,Contract:,合約:
STATIC_LONGCODE_TEXT             ,编码:,Code:,編碼:
STATIC_ORDERTYPE_TEXT,下单类型:,OrderType:,下單類型:
STATIC_DIRECT_TEXT              ,买卖:,Buy/Sell:,買賣:
STATIC_OFFSETFLAG_TEXT          ,开平: ,Open/Close:,開平: 
STATIC_OFFSETFLAG_AUTO         ,自动: ,Auto:,自動: 
STATIC_VOLUME_TEXT              ,手数:,Volumne:,手數:
STATIC_PRICE_TEXT,价格:,Price:,價格:
